Verb,pct_female,pct.male,pct.trans,pct.human,pct.robot,pct.animal,pct.fictional,pct.asian,pct.white,pct.black,pct.PoC.other,pct.heterosexual,pct.homosexual,pct.sexuality.other,pct.child,pct.young.adult,pct.adult,pct.elderly
Inspired,0,0.14285714285714285,0,0.2857142857142857,0,0,0,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0.14285714285714285,0,0.14285714285714285
Inspiring,0.09090909090909091,0.18181818181818182,0,0.18181818181818182,0.09090909090909091,0,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0.2727272727272727,0
Instructed,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
Instructing,0.2222222222222222,0.1111111111111111,0,0.1111111111111111,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111,0
Interacting,0.04838709677419355,0.14516129032258066,0,0.20967741935483872,0.03225806451612903,0,0,0.016129032258064516,0.16129032258064516,0.016129032258064516,0,0.11290322580645161,0.016129032258064516,0,0.03225806451612903,0.03225806451612903,0.1774193548387097,0
Intercepting,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0
Interpreted,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0
Interpreting,0.1111111111111111,0.05555555555555555,0,0.16666666666666666,0.16666666666666666,0,0,0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0,0,0,0,0,0.3333333333333333,0
Interrogating,0.2222222222222222,0,0,0.1111111111111111,0.1111111111111111,0,0,0,0.2222222222222222,0,0,0.1111111111111111,0,0,0,0,0.2222222222222222,0
Intervening,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Interviewed,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Intimidated,0.2,0,0,0.1,0.1,0,0,0.2,0,0,0,0,0.2,0,0,0,0.2,0
Intimidating,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25
Introduced,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Introducing,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
Intruding,0.125,0.125,0,0.25,0,0,0,0,0.125,0,0,0.125,0,0,0.0625,0,0.1875,0
Invaded,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
Invading,0,0.2,0,0,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Inventing,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0
Investigated,0,0.18181818181818182,0,0.2727272727272727,0,0,0,0.09090909090909091,0.18181818181818182,0,0,0,0,0,0,0,0.2727272727272727,0
Investigating,0.06306306306306306,0.17117117117117117,0,0.1891891891891892,0.04504504504504504,0,0,0.018018018018018018,0.16216216216216217,0,0.009009009009009009,0.10810810810810811,0,0,0,0.009009009009009009,0.22522522522522523,0
Irritated,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0
Joking,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0.2,0,0
Judged,0.14285714285714285,0,0,0.2857142857142857,0,0,0,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0,0.2857142857142857,0
Judging,0,0.2857142857142857,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0,0,0
Kidnapped,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0
Killed,0.06422018348623854,0.1834862385321101,0,0.26605504587155965,0,0,0.009174311926605505,0.009174311926605505,0.11009174311926606,0,0.03669724770642202,0.045871559633027525,0,0.009174311926605505,0.027522935779816515,0.009174311926605505,0.22935779816513763,0
Killing,0.04861111111111111,0.19444444444444445,0,0.18055555555555555,0.08333333333333333,0,0.006944444444444444,0.006944444444444444,0.16666666666666666,0.006944444444444444,0.006944444444444444,0.0625,0,0,0.006944444444444444,0.013888888888888888,0.2152777777777778,0
Kissing,0,0.2,0,0.2,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0
Kneeling,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0
Labeled,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0.25,0
Labeling,0,0,0,0.4166666666666667,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0.4166666666666667,0
Laughing,0.1111111111111111,0.1111111111111111,0,0.2777777777777778,0,0,0,0,0.1111111111111111,0,0,0.05555555555555555,0,0.05555555555555555,0,0.05555555555555555,0.2222222222222222,0
Learning,0.11818181818181818,0.10909090909090909,0,0.2,0.045454545454545456,0.00909090909090909,0,0.03636363636363636,0.13636363636363635,0,0.01818181818181818,0.10909090909090909,0,0,0,0.03636363636363636,0.16363636363636364,0.01818181818181818
Liberated,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0
Limited,0.09090909090909091,0.18181818181818182,0,0.18181818181818182,0.09090909090909091,0,0,0,0.09090909090909091,0.09090909090909091,0,0.09090909090909091,0,0,0,0,0.18181818181818182,0
Listening,0.05,0.2,0,0.2,0.05,0,0,0.05,0.15,0.05,0,0,0,0,0,0,0.25,0
Located,0,0.25,0,0,0.125,0,0.125,0,0.125,0.125,0,0,0,0,0,0,0.25,0
Locating,0.10526315789473684,0.10526315789473684,0,0.21052631578947367,0.05263157894736842,0,0,0,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0,0,0,0,0.2631578947368421,0
Logging,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0
Longing,0.1,0.1,0,0.3,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.3,0
Looking,0.058823529411764705,0.16470588235294117,0,0.2235294117647059,0.011764705882352941,0,0,0.058823529411764705,0.12941176470588237,0,0.011764705882352941,0.09411764705882353,0.011764705882352941,0,0,0.023529411764705882,0.21176470588235294,0
Losing,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0.2,0
Lost,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Loved,0.08333333333333333,0.125,0,0.125,0.08333333333333333,0,0,0,0.16666666666666666,0,0.041666666666666664,0.16666666666666666,0,0,0,0.041666666666666664,0.16666666666666666,0
Loving,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.19047619047619047,0,0,0,0.14285714285714285,0,0,0.19047619047619047,0,0,0,0,0.23809523809523808,0
Lured,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0
Lying,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Magnified,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0
Maintaining,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0
