Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Generated,FALSE,3,3,0,3,0,3,0,6,1,0,5,2,4,0,0,0,0,0,0,0
Generating,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Giving,TRUE,2,1,0,1,0,2,0,3,0,0,3,1,2,0,0,0,0,0,0,0
Glitching,TRUE,0,1,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0
Griefing,TRUE,0,2,0,0,0,2,1,0,1,0,1,0,2,1,0,0,0,0,0,0
grieved,FALSE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Grieving,TRUE,4,3,0,0,0,7,3,2,0,2,3,3,7,0,1,0,0,0,0,0
Guided,FALSE,3,3,0,1,0,6,0,6,0,2,5,1,8,0,0,0,0,0,0,0
Guiding,TRUE,3,2,0,2,0,4,1,2,0,0,6,0,9,0,0,0,1,0,0,0
Hacked,FALSE,2,3,0,4,0,4,1,2,0,2,3,0,18,1,0,0,0,0,0,0
Hacking,TRUE,12,15,1,15,1,21,5,16,0,8,22,9,59,0,0,0,0,0,0,1
Harassed,FALSE,1,1,0,0,0,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0
Hating,TRUE,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Having sex,TRUE,2,4,0,0,0,8,2,5,0,0,6,4,5,0,2,0,0,0,2,0
Healing,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Heating,TRUE,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Helped,FALSE,7,12,0,3,1,15,1,11,0,4,16,5,25,3,1,1,0,0,0,0
Helping,TRUE,10,10,0,12,1,11,2,10,1,2,16,5,37,3,0,0,0,0,0,0
Hesitating,TRUE,1,0,0,0,0,2,1,0,0,0,2,1,3,0,0,0,0,0,0,0
Hiding,TRUE,14,17,0,2,0,33,7,21,1,7,24,14,32,1,0,0,1,0,0,1
Highlighting,TRUE,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Hijacked,FALSE,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Holding,TRUE,0,3,0,0,0,3,0,1,0,0,4,1,6,2,0,0,0,0,0,0
Hoping,TRUE,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Hugging,TRUE,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
