Verb,target,Female,Male,Trans Woman,Robot,Fictional,Human,PoC,White,Child,Young Adult,Adult,Heterosexual,NA,Asian,Elderly,Other,Non-binary or Other,Animal,Bi-sexual,Homosexual
Vlogging,TRUE,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Waiting,TRUE,0,3,0,1,0,3,0,1,0,0,2,0,8,1,1,0,0,0,0,0
Walking,TRUE,4,8,0,0,0,12,2,6,0,2,9,5,8,3,1,0,0,0,0,0
Wandering,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Warned,FALSE,3,0,0,0,0,3,2,1,0,1,2,2,1,0,0,0,0,0,0,0
Warning,TRUE,0,1,0,0,0,2,1,0,0,0,2,0,4,0,0,0,0,0,0,0
Watched,FALSE,30,18,0,3,5,49,8,29,5,11,37,23,74,1,0,0,0,1,0,1
Watching,TRUE,26,45,1,17,6,67,14,35,5,5,71,20,138,7,0,0,0,1,0,2
Weakened,FALSE,0,1,0,1,0,1,0,1,0,0,1,0,5,0,0,0,0,0,0,0
Wearing,TRUE,1,0,0,0,0,2,1,0,0,0,2,0,4,0,0,0,0,0,0,0
Welcomed,FALSE,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0
Welcoming,TRUE,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Winning,TRUE,0,2,0,0,0,2,0,2,0,1,1,1,1,0,0,0,0,0,0,0
Wishing,TRUE,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Withdrawing,TRUE,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Witnessing,TRUE,2,2,0,0,0,4,0,3,0,0,4,2,3,0,0,0,0,0,0,0
Working,TRUE,4,0,0,1,0,4,1,1,0,0,5,0,13,1,0,0,0,0,0,0
Worrying,TRUE,2,2,0,3,0,3,1,2,0,1,5,3,8,0,0,0,0,0,0,0
Wounded,FALSE,0,1,0,0,1,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0
Wounding,TRUE,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Yelling,TRUE,1,1,0,0,0,2,0,2,0,1,1,1,1,0,0,0,0,0,0,0
Zooming,TRUE,3,0,0,1,1,1,1,0,0,0,2,1,5,0,0,0,0,0,0,0
NA,NA,13,25,0,5,1,33,4,22,0,7,30,19,34,3,1,0,0,1,0,2
