Verb,target,SituationID,Government,Narrative,Art,User,Humans in general,Corporation,Game,Object,Image,Creator,Law enforcement,Environment,Military
Categorising,TRUE,1653,0,0,1,0,0,0,0,0,0,1,0,0,0
Categorising,TRUE,1763,0,0,1,0,0,0,0,0,0,1,0,0,0
Categorising,TRUE,2246,0,0,1,0,0,1,0,0,0,0,0,0,0
Categorising,TRUE,3052,0,0,1,0,0,0,0,0,0,1,0,0,0
Categorising,TRUE,3092,0,0,1,0,0,0,0,0,0,1,0,0,0
Categorizing,TRUE,1075,0,0,1,0,0,0,0,0,0,1,0,0,0
Categorizing,TRUE,2537,0,0,1,0,0,0,0,0,0,1,0,0,0
Celebrating,TRUE,2041,0,0,1,1,0,0,0,0,0,0,0,0,0
Challenged,FALSE,2989,0,0,1,0,1,0,0,0,0,0,0,0,0
Challenging,TRUE,2989,0,0,1,0,0,0,0,0,0,1,0,0,0
Changing,TRUE,1217,0,0,1,0,0,0,0,0,1,0,0,0,0
Changing,TRUE,3199,0,0,1,0,0,0,0,0,1,0,0,0,0
Checking,TRUE,3052,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,527,0,0,1,1,0,0,0,0,0,0,0,0,0
Choosing,TRUE,529,0,0,1,1,0,0,0,0,0,0,0,0,0
Choosing,TRUE,727,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1075,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1212,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1229,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1518,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1547,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1565,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1578,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1579,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1593,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1594,0,0,2,1,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1595,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1616,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,1640,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,2251,0,0,1,1,0,0,0,0,0,0,0,0,0
Choosing,TRUE,2833,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,2938,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,3040,0,0,1,1,0,0,0,0,0,0,0,0,0
Choosing,TRUE,3092,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,3183,0,0,1,0,0,0,0,0,0,1,0,0,0
Choosing,TRUE,3211,0,0,1,0,0,0,0,0,0,1,0,0,0
Circulating,TRUE,1653,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,441,0,0,1,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,458,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,526,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,527,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,528,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,530,0,0,1,0,0,0,0,1,0,0,0,0,0
Classified,FALSE,638,0,1,0,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,707,0,0,0,1,0,0,1,0,0,0,0,0,0
Classified,FALSE,746,0,0,0,0,1,0,1,0,0,0,0,0,0
Classified,FALSE,1072,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1081,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,1157,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1180,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,1547,0,0,1,0,1,0,0,0,0,0,0,0,0
Classified,FALSE,1550,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1563,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1594,0,0,1,0,0,0,0,1,0,0,0,0,0
Classified,FALSE,1595,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,1614,0,0,1,0,0,0,0,0,1,0,0,0,0
Classified,FALSE,1616,0,0,1,1,0,0,0,0,0,0,0,0,0
Classified,FALSE,1652,0,0,1,1,0,0,0,0,0,0,0,0,0
