WorkTitle,WorkID,Work_WikidataID,Creator,CreatorID,Creator_WikidataID
CMYK Deep Face Dude,75,NA,Douglas Coupland,74,Q322060
"I'm going to die, and probably soon, because of what I saw through an unsecured webcam one night",220,NA,Dracola112,219,NA
Man With a Movie Camera,1167,NA,Dziga Vertov,1165,Q55193
Holo / Olho / Eye (Holopoems series),1877,NA,Eduardo Kac,1876,Q331376
The Machine Stops,82,Q287448,Edward Morgan Forster,81,NA
Deus Ex: Human Revolution,1044,Q642107,Eidos Montréal,1045,NA
Sight,3264,NA,Eran May-Raz,3260,NA
The Normalizing Machine,193,NA,Eran Weissenstern,191,NA
Los anillos de la serpiente,1873,NA,Estudio Biopus,1872,NA
"NAMAHAGE in Tokyo",597,NA,Etsuko Ichihara,596,NA
Lacework,2124,NA,Everest Pipkin,2123,Q16734565
Ana,2696,Q20521107,Factory Fifteen,2695,NA
Body Devices,156,NA,Faith Holland,155,Q28935792
Artificial Remnants 2.0,3182,NA,Feileacan McCormick,3181,NA
Iceberg,1704,NA,Fernando Velazquez,1703,NA
Do Not Feed the Monkeys,15,Q74116403,Fictiorama Studios,14,NA
The Battle of Ilovaisk,2740,NA,Forensic Architecture,2739,NA
Deep Dark Fears,1027,NA,Fran Krause,1025,NA
Finis Terra,1600,NA,Francisco Gallardo,1598,NA
2033: La Ilusión de un Futuro Mejor,1931,NA,Francisco Laresgoiti,1926,NA
Finis Terra,1600,NA,FRAUD,1634,NA
To the Moon,2894,Q1711379,Freebird Games,2893,NA
See you,1094,NA,Freeda Beast,1092,NA
Tacoma,51,Q24877461,Fullbright,50,Q17561297
Den Lengste Reisen,1597,Q918194,Funcom,1596,Q918638
Outra 33 Bienal de São Paulo,1682,NA,Gabriel Pereira,1679,NA
Recoding Art,1700,NA,Gabriel Pereira,1679,NA
The Argus Project,3171,NA,Gan Golan,3164,NA
Rogue One: A Star Wars Story,1852,Q19590955,Gareth Edwards,1851,Q2451678
Ocean`s Eight,290,Q25627545,Gary Ross,287,NA
Borderlands 3,2928,Q62565771,Gearbox Software,2926,Q1046593
Good boys,873,Q56274437,Gene Stupnitsky,868,Q5531483
The Midnight Sky,2576,Q71767482,George Clooney,2571,Q23844
Nineteen Eighty-Four,202,NA,George Orwell,201,Q3335
Echo,176,NA,Georgie Pinn,175,NA
The Nostalgist,2693,Q20925597,Giacomo Cimini,2690,Q5557873
Restricted Residence,940,NA,Giles Price,937,NA
The Cell,371,NA,Gojira,369,NA
Before Your Eyes,2985,Q106452472,GoodbyeWorld Games,2984,Q106474348
Self-portrait of an absence,1483,NA,Graziele Lautenschlaeger,1473,NA
Upload,1189,NA,Greg Daniels,1188,Q1544904
The Addams Family,768,Q54825652,Greg Tiernan,765,Q26702453
EYE,353,NA,group inou,350,NA
Contra a Cegueira da Ordem Estabelecida,1669,NA,GRUPO DE PESQUISA REALIDADES,1667,NA
Horizon Zero Dawn,135,Q20155528,Guerrilla Games,134,Q337910
Glad Girls,704,NA,Guided by Voices,701,NA
Outra 33 Bienal de São Paulo,1682,NA,Guilherme Falcão,1680,NA
